epoch,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1
1,0.9646899804518961,0.6539649845520082,0.6524507147049217,0.7818930041152263,0.6340103611519219,0.7349006455816157,0.6340103611519219,0.637627960499457,0.7486895711527005
2,0.6264402552073328,0.7837281153450052,0.5349196004278866,0.831275720164609,0.7654655796579573,0.8251196172248804,0.7654655796579573,0.7792069307032045,0.8263044473098554
3,0.5150608017073847,0.839340885684861,0.5157208123048882,0.8271604938271605,0.7598570420303632,0.8356152749066551,0.7598570420303632,0.7751026991085348,0.8192943809977602
4,0.38153717213384153,0.8692070030895983,0.6260470121853636,0.8271604938271605,0.733174027021577,0.8689266615737203,0.733174027021577,0.7424415554018242,0.8119872768178379
5,0.275260393907739,0.9073120494335737,0.5542665912535946,0.8106995884773662,0.7322357618183389,0.8701563377644635,0.7322357618183389,0.7696230036412025,0.8026274502968883
6,0.24053381802370324,0.9165808444902163,1.072589192370819,0.6255144032921811,0.6930455689031007,0.7416214311811682,0.6930455689031007,0.6466337687523728,0.6575363820281868
7,0.1969215671937571,0.9279093717816684,0.29420948808882463,0.9053497942386831,0.9070613074832675,0.9008801415302964,0.9070613074832675,0.9026378319932746,0.9044110238301803
8,0.12917305741278814,0.9629248197734295,0.5977745142002655,0.7613168724279835,0.694634094815583,0.8573299780616853,0.694634094815583,0.734952891787081,0.7528468338955827
9,0.16636371939039254,0.9392378990731205,0.37772914457590984,0.897119341563786,0.8495650764843143,0.9043134321592096,0.8495650764843143,0.8543852935066034,0.8921153185300941
10,0.1525125036631873,0.952626158599382,0.5881948884683872,0.8065843621399177,0.7726879699248119,0.8276118469113923,0.7726879699248119,0.780853890217804,0.7944785049656606
11,0.08618731601461077,0.976313079299691,0.6930612237978374,0.8106995884773662,0.7408511700707707,0.8811723206460048,0.7408511700707707,0.7774112802825555,0.8010287999790953
12,0.13453660512882085,0.964984552008239,0.3522021237132235,0.9176954732510288,0.8974799306695858,0.9247899159663865,0.8974799306695858,0.9061781383791571,0.9176467676081586
13,0.0848200146787935,0.9783728115345005,0.421027173138695,0.8888888888888888,0.8952702877884366,0.9206032233682004,0.8952702877884366,0.8995717322761104,0.8867939192645857
14,0.03644495509575907,0.9907312049433573,0.25549763019882726,0.9465020576131687,0.9417860503749796,0.9460444878775187,0.9417860503749796,0.9430330086961899,0.9466943426777505
15,0.01859335667702123,0.9979402677651905,0.2007323033617112,0.9506172839506173,0.9433377745129106,0.9497308062726377,0.9433377745129106,0.9453692493946733,0.9506755746868742
16,0.006661411254195809,1.0,0.23297454990300928,0.9547325102880658,0.9528615840367202,0.9503930817610063,0.9528615840367202,0.9504996669919649,0.9549443199897248
17,0.015981491530423428,0.995880535530381,0.5339567941372041,0.8600823045267489,0.8701562094892402,0.8339467312348668,0.8701562094892402,0.8409821440317913,0.8623668473373884
18,0.08345208223621399,0.972193614830072,0.5004844787250821,0.8559670781893004,0.8005820585947628,0.8720322750449793,0.8005820585947628,0.823333522874797,0.8564630322627775
19,0.16282103114462163,0.9423274974253347,0.4109552995121651,0.897119341563786,0.8929210958430559,0.8949432478091014,0.8929210958430559,0.8831189360062371,0.9004491745293022
20,0.07254791313669157,0.9783728115345005,0.4310553749034434,0.8930041152263375,0.8690847809178118,0.8931044158913011,0.8690847809178118,0.8671513578440824,0.892838059608642
